id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating
29025625,Private room in Port Melbourne (perfect location),103540102,Paola,,Port Phillip,-37.84162,144.93879,Private room,61,3,1,01/11/18,0.19,1,13,95
29027893,MYROOM @ ShadowPlay - 1 Bed Apt,46879601,Brian,,Melbourne,-37.82807,144.95871,Entire home/apt,165,1,2,31/12/18,0.61,2,38,93.5
29036506,Clean well-lit interior with balcony and BBQ,21058208,Joel,,Darebin,-37.78214,144.99718,Entire home/apt,110,2,11,03/04/19,2.46,52,64,96
29037326,fully renovated house,218835770,Zicong,,Boroondara,-37.82992,145.06646,Private room,38,1,0,,,1,179,93.5
29038736,City View in MARIBYRNONG,218574775,Kevin,,Maribyrnong,-37.78516,144.89554,Entire home/apt,250,3,18,24/03/19,3.18,1,358,100
29039120,★ST KILDA BOHEMIAN RETREAT★ Beach | Parking | 1BD,7509953,Beyond A Room,,Port Phillip,-37.86221,144.97873,Entire home/apt,117,1,5,19/01/19,1.22,98,348,73
29039368,"(Cozy) Prime Location in CBD-Wifi,Carpark,Pool,Gym",162721037,Sub,,Melbourne,-37.81403,144.95521,Entire home/apt,115,1,25,25/03/19,4.21,5,341,93.5
29040319,Snug & Convenient Apartment in South Yarra,49763222,Jack,,Stonnington,-37.84521,145.0024,Entire home/apt,120,7,0,,,1,0,96
29040327,44F/ High rise Apt* Close to Central Station,204661584,Weyou Stay,,Melbourne,-37.80675,144.96084,Entire home/apt,129,1,2,20/01/19,0.72,26,1,93
29040579,RICHMOND HILL (VIGNACOURT)THE BALCONY BEDROOM,17898106,Chelo,,Yarra,-37.82116,144.99448,Private room,158,2,2,27/10/18,0.34,3,303,92
29041300,Relocate to Melbourne! Close to everything!,55324450,Bruce,,Port Phillip,-37.83366,144.97318,Entire home/apt,99,28,3,07/01/19,0.59,67,189,93.5
29041557,Windsor Palace,218870687,Stephanie,,Stonnington,-37.85684,144.9967,Private room,63,2,2,14/02/19,0.98,1,136,97
29041570,Enchanted Victorian Cottage 5km from Melbourne CBD,35457744,Saransh,,Boroondara,-37.81267,145.04249,Private room,75,1,29,06/04/19,6.69,1,12,100
29041724,Living by the Clouds  - 2Beds Apt @ Avant #3,108813610,HugoHome,,Melbourne,-37.80849,144.96201,Entire home/apt,129,1,19,31/03/19,3.7,37,0,100
29041893,southerncross apartment near to City,218872643,Shirely,,Melbourne,-37.81783,144.95105,Entire home/apt,120,5,3,16/02/19,0.63,1,0,97
